  seq_1   seq_2   seq_3   seq_4   seq_5   seq_6   seq_7   seq_8   seq_9   seq_10
seq_1        0       -1109   -1389   -1626   -1523   -1529   1618    -519    -1214   -1298
seq_2        -1109   0       -1542   -1959   -1939   -1718   -1035   -1193   -1328   -1559
seq_3        -1389   -1542   0       -1263   -1219   -1168   -1449   -1447   -1360   -1241
seq_4        -1626   -1959   -1263   0       -751    -1056   -1304   -1713   -1397   -1290
seq_5        -1523   -1939   -1219   -751    0       -1042   -1777   -1971   -1455   -1323
seq_6        -1529   -1718   -1168   -1056   -1042   0       -1551   -1605   -1296   -1257
seq_7        1618    -1035   -1449   -1304   -1777   -1551   0       -751    -1178   -1279
seq_8        -519    -1193   -1447   -1713   -1971   -1605   -751    0       -1237   -1329
seq_9        -1214   -1328   -1360   -1397   -1455   -1296   -1178   -1237   0       -1294
seq_10       -1298   -1559   -1241   -1290   -1323   -1257   -1279   -1329   -1294   0
