 seq_1   seq_2   seq_3   seq_4   seq_5   seq_6   seq_7   seq_8   seq_9   seq_10
seq_1        0       -25     -14     -16     -16     -12     -24     -21     -28     -11
seq_2        -25     0       -18     -26     -23     -25     -14     -19     -9      -24
seq_3        -14     -18     0       -23     -12     -16     -13     -31     -7      -20
seq_4        -16     -26     -23     0       -24     -9      -18     -22     -33     -12
seq_5        -16     -23     -12     -24     0       -16     -5      -17     -5      -15
seq_6        -12     -25     -16     -9      -16     0       -17     -25     -25     -24
seq_7        -24     -14     -13     -18     -5      -17     0       -25     -14     -14
seq_8        -21     -19     -31     -22     -17     -25     -25     0       -33     -15
seq_9        -28     -9      -7      -33     -5      -25     -14     -33     0       -22
seq_10       -11     -24     -20     -12     -15     -24     -14     -15     -22     0
